trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-207.16610201575554,"{0: 19, 1: 0, 2: 5, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-116.79778544600255,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.97}",30,0,-170.0069709207129,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96}",30,0,-184.46101483526968,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.95}",25,0,-216.13423724497025,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.94}",30,0,-108.4796707980906,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-60.646491146676695,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-39.047231901979565,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-140.62121037105777,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-196.82567628884357,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-49.31069727558254,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-122.52620406476609,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",30,7,-107.44264205742476,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-115.92730184303564,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-144.21627194203577,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,0,-20.833095424737422,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-58.94822014375537,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-190.7163224691121,"{0: 8, 1: 1, 2: 5, 3: 5, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-74.25758908081352,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-49.325582764931305,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",30,0,-93.76684218861905,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-76.52638618604097,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",30,0,-15.41961522994745,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-58.59129418036103,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-67.43608095044874,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",25,0,-146.0192941497537,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",30,18,-42.37162228288204,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,8,-22.422087373356486,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-40.389295468728044,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-153.9064798206011,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-56.590056612668505,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-126.30973248296114,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,11,-94.89321986296474,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 2}",1
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,0,-4.001985799204744,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-66.08700536589407,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-116.7547077753045,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,0,-84.69006409243936,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,16,-18.889432427380147,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,0,-84.24616902839605,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,12,-10.936559332809637,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,0,-91.49351636706405,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,8,-58.25156712559111,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",30,0,-89.47929864895731,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",35,14,-30.926524092554537,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,3.1133814770679935,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-74.12073896834053,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,0,-23.476165343922347,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-69.88650251462902,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",30,18,17.81903341069301,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
