trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-64.32855760055895,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9025}",35,0,-164.2544572629915,"{0: 25, 1: 0, 2: 7, 3: 0, 4: 3}",1
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,9,-77.10341518426085,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",25,0,-98.32606054919026,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",20,0,-171.26853919370257,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",25,0,-81.32524805833106,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,0,-244.6726659000176,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",30,0,-83.78914805334745,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",25,0,-81.63543726559062,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",25,0,-122.2661553277097,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",25,0,-61.65173011089046,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",25,0,-64.23365728565292,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",30,0,-106.16669116234178,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",20,3,-65.80778872094591,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",25,0,-18.94603026758289,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",20,0,-175.82894755358544,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
