trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-152.7134704211022,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.998}",20,0,-108.01130696951768,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.997}",20,0,-80.32756800642954,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.996}",25,0,-188.09479584813081,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.995}",25,0,-82.47107979108563,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.994}",25,0,-120.70850591210251,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.993}",20,0,-42.7584690497479,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.992}",20,0,-176.61254741386443,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.991}",20,0,-60.90467484559647,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.99}",20,0,-123.16851064803016,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.989}",20,0,-114.01311476996793,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.988}",25,0,-121.0522645691209,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.987}",20,0,-184.656913276511,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.986}",25,2,-72.28900633722529,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.985}",20,0,-66.07438952210694,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.984}",25,0,-145.64661802843813,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.983}",25,0,-225.2038425432962,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.982}",25,0,-125.43978112349184,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
