trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-66.42913556543547,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.9371542172055,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.4728268727114,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.56739634566516,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.58867413338933,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.51749269630878,"{0: 15, 1: 2, 2: 10, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.67162978960562,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.0340448369746,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.71949628688576,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,3,-154.85517325952455,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 3}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.409835047708164,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-77.72245444831705,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,3,-138.16347356253033,"{0: 7, 1: 1, 2: 6, 3: 2, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.90769687318715,"{0: 18, 1: 1, 2: 2, 3: 4, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.73908791727015,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.7558543909636,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.81326171713708,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.3984355817237,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.4332273099627,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.20895548578778,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.59170974921658,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,10,-3.4864698915767143,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.4232916146236,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,1,-141.9548993144427,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.99255542464037,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.12802990982843,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.19431542280383,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.86752338603193,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-5.050988873689998,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,4,-126.01209160154204,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 1}",1
