trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-176.43053796251075,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9025}",25,0,-130.74400806557034,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",30,0,-153.67103903832975,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",25,18,-30.366805352711413,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",20,0,-95.61232600057392,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,12,-11.789631549981502,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",35,9,-78.42007279898932,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",25,0,-175.14514704385093,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-31.799900351327565,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",35,1,-75.97853995116081,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",20,0,-115.16808598852056,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",20,0,-69.82042900236834,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",30,0,-70.19295034378506,"{0: 23, 1: 1, 2: 3, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",30,0,-125.3742613042891,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",20,0,-27.7860360761067,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",25,0,-19.493591917262464,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.41812033521917696}",25,1,12.67270833726034,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.3972143184582181}",20,3,-14.242723438887184,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.37735360253530714}",25,0,-163.97563199422203,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.35848592240854177}",20,1,0.4945028225581274,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.34056162628811465}",30,0,-103.83960884666192,"{0: 23, 1: 0, 2: 3, 3: 3, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.3235335449737089}",25,15,-53.6516496746208,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.30735686772502346}",20,0,-32.60847425440467,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.2919890243387723}",20,3,-65.85609284816381,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
25,False,"{'a': 0.5, 'e': 0.27738957312183365}",20,0,-39.23667315933644,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.263520094465742}",30,0,-99.21674365834289,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.25034408974245487}",25,7,3.8832846590052306,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.2378268852553321}",30,7,-18.624107083735495,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.2259355409925655}",25,0,-59.47244343457376,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.2146387639429372}",30,0,-40.530150646148584,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.20390682574579033}",25,11,17.823141617766794,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.1937114844585008}",30,18,-1.9547243966691394,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
